"","SubjectID","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","n"
"79","Subject189",471.0625,57.377216269252,585.816932538504,356.308067461496,3,1,48
"80","Subject19",428.354166666667,123.331500968754,675.017168604174,181.691164729159,2,2,48
"81","Subject190",601.973684210526,83.9335280242662,769.840740259059,434.106628161994,2,0,38
"82","Subject191",649.1875,244.068150253336,1137.32380050667,161.051199493328,0,1,48
"83","Subject192",645.479166666667,196.293309581669,1038.06578583,252.892547503329,2,0,48
"84","Subject193",374.0625,68.720032153288,511.502564306576,236.622435693424,2,0,48
"85","Subject194",472.9375,108.086333942392,689.110167884785,256.764832115215,2,0,48
"86","Subject195",583.895833333333,159.970374861514,903.836583056362,263.955083610305,3,0,48
"87","Subject196",921.458333333333,390.213469037705,1701.88527140874,141.031395257924,2,0,48
"88","Subject197",518.354166666667,139.515344932488,797.384856531643,239.32347680169,4,0,48
"89","Subject198",462.270833333333,103.47756249408,669.225958321494,255.315708345173,2,0,48
"90","Subject199",418.208333333333,81.7752390171503,581.758811367634,254.657855299033,2,0,48
"91","Subject2",491.354166666667,91.7135896989154,674.781346064497,307.926987268836,2,0,48
"92","Subject20",668.354166666667,215.139488603877,1098.63314387442,238.075189458913,1,0,48
"93","Subject200",625.229166666667,170.924798641918,967.078763950502,283.379569382831,2,0,48
"94","Subject201",585.416666666667,253.382801254606,1092.18226917588,78.6510641574545,3,0,48
"95","Subject202",444.645833333333,77.3506768962758,599.347187125885,289.944479540782,3,0,48
"96","Subject203",612,337.798567700376,1287.59713540075,-63.5971354007521,3,0,48
"97","Subject204",357.375,88.599895538097,534.574791076194,180.175208923806,3,0,48
"98","Subject205",519.166666666667,155.850901653148,830.868469972963,207.46486336037,1,1,48
"99","Subject206",595.104166666667,213.247158528707,1021.59848372408,168.609849609253,1,0,48
"100","Subject207",786.416666666667,222.44050921953,1231.29768510573,341.535648227606,3,0,48
"101","Subject208",517.354166666667,126.32826027446,770.010687215586,264.697646117747,2,0,48
"102","Subject209",535.958333333333,106.227767803349,748.413868940032,323.502797726635,2,0,48
"103","Subject21",708.979166666667,245.580119923048,1200.13940651276,217.818926820571,3,0,48
"104","Subject210",482.583333333333,183.282926661688,849.14918665671,116.017480009957,2,0,48
"105","Subject211",471.479166666667,113.041319800635,697.561806267937,245.396527065396,2,0,48
"106","Subject212",618.708333333333,290.119341426082,1198.9470161855,38.4696504811694,3,1,48
"107","Subject213",478,82.918827264341,643.837654528682,312.162345471318,3,0,48
"108","Subject214",403.354166666667,75.5427143038769,554.43959527442,252.268738058913,3,0,48
"109","Subject215",469.041666666667,131.389458162792,731.820582992251,206.262750341083,3,0,48
"110","Subject216",658.395833333333,238.205591479412,1134.80701629216,181.984650374508,3,0,48
"111","Subject218",491.208333333333,112.713902243092,716.636137819517,265.78052884715,2,0,48
"112","Subject219",444.5625,93.8822046559614,632.326909311923,256.798090688077,3,0,48
"113","Subject22",NA,NA,NA,NA,0,0,48
"114","Subject220",689.125,261.924841014413,1212.97468202883,165.275317971174,3,0,48
"115","Subject221",408.666666666667,72.575810205263,553.818287077193,263.515046256141,2,0,48
"116","Subject222",416.645833333333,74.8051339640261,566.256101261385,267.035565405281,2,0,48
"117","Subject223",502.770833333333,97.7287256238243,698.228284580982,307.313382085685,2,0,48
"118","Subject224",407.875,97.5413987396383,602.957797479277,212.792202520723,4,0,48
"119","Subject225",492.416666666667,132.685972792479,757.788612251625,227.044721081708,2,0,48
"120","Subject226",545.666666666667,73.294896438781,692.256459544229,399.076873789105,2,0,48
"121","Subject227",523.291666666667,167.152746851919,857.597160370505,188.986172962828,3,0,48
"122","Subject228",653.604166666667,114.043429499716,881.691025666099,425.517307667234,3,0,48
"123","Subject229",457.0625,113.485664339767,684.033828679534,230.091171320466,2,0,48
"124","Subject23",446.520833333333,84.03165299858,614.584139330493,278.457527336173,3,0,48
"125","Subject230",396.625,53.2615485429356,503.148097085871,290.101902914129,3,1,48
"126","Subject231",450.395833333333,83.3665935398569,617.129020413047,283.662646253619,1,0,48
"127","Subject232",462.729166666667,87.2037817800214,637.136730226709,288.321603106624,1,0,48
"128","Subject233",608.3125,216.650434812062,1041.61336962412,175.011630375877,2,0,48
"129","Subject234",632.020833333333,147.410339078967,926.841511491266,337.2001551754,3,0,48
"130","Subject235",775.375,142.926349877696,1061.22769975539,489.522300244607,2,0,48
"131","Subject236",494.854166666667,136.047549507333,766.949265681334,222.759067652,3,0,48
"132","Subject237",477.520833333333,91.3787976672957,660.278428667925,294.763237998742,2,0,48
"133","Subject238",549.0625,133.314602518557,815.691705037114,282.433294962886,2,0,48
"134","Subject239",376.375,68.0539913941927,512.482982788385,240.267017211615,1,0,48
"135","Subject24",455.791666666667,100.94404566199,657.679757990647,253.903575342687,3,0,48
"136","Subject240",493.458333333333,110.369969384086,714.198272101504,272.718394565162,2,0,48
"137","Subject242",474.395833333333,115.835675903656,706.067185140644,242.724481526022,1,0,48
"138","Subject243",687.583333333333,252.374580887248,1192.33249510783,182.834171558837,1,1,48
"139","Subject244",508.1875,138.571535600654,785.330571201309,231.044428798691,3,0,48
"140","Subject245",566.791666666667,204.087273606727,974.96621388012,158.617119453213,2,0,48
"141","Subject246",417.1,68.1189758569143,553.337951713829,280.862048286171,1,0,40
"142","Subject247",399.854166666667,69.0913639901123,538.036894646891,261.671438686442,2,0,48
"143","Subject248",386.770833333333,71.5845697100107,529.939972753355,243.601693913312,2,1,48
"144","Subject249",452.25,122.404891433343,697.059782866686,207.440217133314,1,0,48
"145","Subject25",442.979166666667,93.7337763740122,630.446719414691,255.511613918642,2,0,48
"146","Subject250",488.625,82.3471181787221,653.319236357444,323.930763642556,1,0,48
"147","Subject251",755.270833333333,194.109175200873,1143.48918373508,367.052482931588,1,0,48
"148","Subject252",556.104166666667,202.895659127808,961.895484922283,150.31284841105,2,0,48
"149","Subject253",437.895833333333,87.7230263042243,613.341885941782,262.449780724885,2,0,48
"150","Subject254",837.979166666667,282.67457340616,1403.32831347899,272.630019854346,3,0,48
"151","Subject255",540.666666666667,152.127233050039,844.921132766745,236.412200566588,2,0,48
"152","Subject256",488.041666666667,71.860076310674,631.761819288015,344.321514045319,2,0,48
"153","Subject257",895.125,349.073035398831,1593.27107079766,196.978929202339,1,2,48
"154","Subject258",552.229166666667,85.0126998230598,722.254566312786,382.203767020547,2,0,48
"155","Subject259",576.958333333333,120.40745688602,817.773247105374,336.143419561293,2,0,48
"156","Subject26",NA,NA,NA,NA,0,0,48
"157","Subject260",485.479166666667,103.091570446682,691.66230756003,279.296025773303,3,0,48
"158","Subject261",616.104166666667,163.539082398157,943.182331462981,289.026001870353,1,0,48
"159","Subject262",508.854166666667,178.268980318988,865.392127304642,152.316206028691,2,0,48
