"","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"165","Subject14","negative",317.5625,28.881294407742,389.765736019355,245.359263980645,0,0,"Subject14","neutral",306.3125,25.9633555869293,371.220888967323,241.404111032677,0,0,"Subject14","positive",307.9375,41.8592383272,412.585595818,203.289404182,0,0,"Subject14","suicide",305.9375,48.5516477578259,427.316619394565,184.558380605435,0,0
"169","Subject140","negative",342.571428571429,85.6986798980226,556.818128316485,128.324728826372,1,0,"Subject140","neutral",339.5,44.1965307839126,449.991326959781,229.008673040219,0,0,"Subject140","positive",332.875,34.4593963963387,419.023490990847,246.726509009153,1,0,"Subject140","suicide",330.3125,46.922231759938,447.618079399845,213.006920600155,0,0
"173","Subject141","negative",511.4375,151.367530093698,889.856325234246,133.018674765754,1,0,"Subject141","neutral",453.625,81.1499640583202,656.499910145801,250.750089854199,0,0,"Subject141","positive",444.375,72.3057166942329,625.139291735582,263.610708264418,0,0,"Subject141","suicide",485.6875,94.9018571999516,722.942142999879,248.432857000121,0,0
"177","Subject142","negative",507.8125,151.08197278299,885.517431957474,130.107568042526,1,0,"Subject142","neutral",492.875,67.8968580519992,662.617145129998,323.132854870002,0,0,"Subject142","positive",502.1875,109.097643573697,774.931608934241,229.443391065759,0,0,"Subject142","suicide",456.375,68.0518184914995,626.504546228749,286.245453771251,1,0
"181","Subject143","negative",288.266666666667,29.644239784163,362.377266127074,214.156067206259,0,0,"Subject143","neutral",295.1875,52.2764685749398,425.878671437349,164.496328562651,0,0,"Subject143","positive",289.875,31.6119703066207,368.904925766552,210.845074233448,0,0,"Subject143","suicide",304,38.5071421946631,400.267855486658,207.732144513342,1,0
"185","Subject144","negative",465.375,75.9384619280638,655.22115482016,275.52884517984,0,0,"Subject144","neutral",472.5625,80.3483820621175,673.433455155294,271.691544844706,1,0,"Subject144","positive",442.625,81.2542306590863,645.760576647716,239.489423352284,1,0,"Subject144","suicide",469.0625,51.5770863207038,598.00521580176,340.11978419824,0,0
"189","Subject145","negative",419.733333333333,97.154123996482,662.618643324538,176.848023342128,0,0,"Subject145","neutral",405.1875,79.1169756331303,602.979939082826,207.395060917174,0,0,"Subject145","positive",437.5625,109.739065514519,711.910163786299,163.214836213701,0,0,"Subject145","suicide",378.125,65.5234054874033,541.933513718508,214.316486281492,0,0
"193","Subject146","negative",335.625,41.6411255051221,439.727813762805,231.522186237195,1,0,"Subject146","neutral",305.9375,24.389803197238,366.912007993095,244.962992006905,0,0,"Subject146","positive",305.0625,30.2577125154343,380.706781288586,229.418218711414,1,0,"Subject146","suicide",332.5,31.0075259681689,410.018814920422,254.981185079578,0,0
"197","Subject147","negative",612,470.456920754403,1788.14230188601,-564.142301886007,0,0,"Subject147","neutral",407.647058823529,154.085991079847,792.862036523148,22.4320811239108,1,0,"Subject147","positive",557.571428571429,359.295640305942,1455.81052933628,-340.667672193428,1,0,"Subject147","suicide",682.666666666667,442.168485644296,1788.08788077741,-422.754547444073,0,0
"201","Subject148","negative",291,50.0261470094928,416.065367523732,165.934632476268,0,0,"Subject148","neutral",278.333333333333,50.2744846768598,404.019545025483,152.647121641184,0,0,"Subject148","positive",282.8125,64.0429218050936,442.919804512734,122.705195487266,1,0,"Subject148","suicide",316.25,121.36803533056,619.670088326399,12.8299116736006,1,0
