"","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"211","Subject151","negative",343.75,4.19324854180304,354.233121354508,333.266878645492,0,0,"Subject15","neutral",436.25,50.0757759134428,561.439439783607,311.060560216393,0,0,"Subject151","positive",361.75,39.9781190152813,461.695297538203,261.804702461797,0,0,"Subject15","suicide",379.25,14.1745076340121,414.68626908503,343.81373091497,0,0
"215","Subject152","negative",354.25,41.9076365356005,459.019091339001,249.480908660999,0,0,"Subject151","neutral",374,17.9443584449264,418.860896112316,329.139103887684,0,0,"Subject152","positive",424.5,175.099019605099,862.247549012746,-13.2475490127463,0,0,"Subject151","suicide",388,54.972720507539,525.431801268847,250.568198731152,0,0
"219","Subject153","negative",354,53.777318638995,488.443296597488,219.556703402512,0,0,"Subject152","neutral",431.25,125.770624551204,745.676561378011,116.823438621989,0,0,"Subject153","positive",371.5,76.4831136046818,562.707784011705,180.292215988295,0,0,"Subject152","suicide",436.25,237.742683027961,1030.6067075699,-158.106707569901,0,0
"223","Subject154","negative",292,4.24264068711928,302.606601717798,281.393398282202,0,0,"Subject153","neutral",344,32.7312287171339,425.828071792835,262.171928207165,0,0,"Subject154","positive",320,16.9705627484771,362.426406871193,277.573593128807,0,0,"Subject153","suicide",394,81.3183046224321,597.29576155608,190.70423844392,0,0
"227","Subject155","negative",369.5,54.6046396075156,506.011599018789,232.988400981211,0,0,"Subject154","neutral",353,73.5391052434009,536.847763108502,169.152236891498,0,0,"Subject155","positive",460.75,109.782739991312,735.20684997828,186.29315002172,0,0,"Subject154","suicide",383.5,116.67261889578,675.181547239451,91.8184527605491,0,0
"231","Subject156","negative",371.75,51.2794630757122,499.948657689281,243.551342310719,0,0,"Subject155","neutral",435,72.9109045342327,617.277261335582,252.722738664418,0,0,"Subject156","positive",364.25,79.8180221921507,563.795055480377,164.704944519623,0,0,"Subject155","suicide",381.75,38.7072344659238,478.51808616481,284.98191383519,0,0
"235","Subject157","negative",459.25,101.345531064111,712.613827660277,205.886172339723,0,0,"Subject156","neutral",353.75,51.9446821147266,483.611705286817,223.888294713183,0,0,"Subject157","positive",416,76.3588021557873,606.897005389468,225.102994610532,0,0,"Subject156","suicide",370.75,25.1710812905074,433.677703226269,307.822296773731,0,0
"239","Subject158","negative",752,468.792775826022,1923.98193956505,-419.981939565054,0,0,"Subject157","neutral",456.5,82.2779840945721,662.19496023643,250.80503976357,0,0,"Subject158","positive",560.75,204.385868722212,1071.71467180553,49.7853281944697,0,0,"Subject157","suicide",438.25,16.9189243156886,480.547310789222,395.952689210778,0,0
"243","Subject159","negative",430.333333333333,133.948995268099,765.205821503582,95.4608451630847,0,0,"Subject158","neutral",710,562.316636780382,2115.79159195096,-695.791591950955,0,0,"Subject159","positive",341.333333333333,44.1852162304694,451.796373909507,230.87029275716,0,0,"Subject158","suicide",577.75,180.535084309579,1029.08771077395,126.412289226053,0,0
"247","Subject16","negative",515.25,258.185172566771,1160.71293141693,-130.212931416928,0,0,"Subject159","neutral",396.75,41.3229153537518,500.057288384379,293.442711615621,0,0,"Subject16","positive",421.75,90.5809950633502,648.202487658375,195.297512341625,0,0,"Subject159","suicide",435,28.2842712474619,505.710678118655,364.289321881345,0,0
"251","Subject17","negative",346.5,31.3421973277773,424.855493319443,268.144506680557,0,0,"Subject16","neutral",347.25,34.3159341025905,433.039835256476,261.460164743524,0,0,"Subject17","positive",336.75,61.732622386115,491.081555965288,182.418444034713,0,0,"Subject16","suicide",418.25,54.8353596383453,555.338399095863,281.161600904137,0,0
"255","Subject18","negative",454.909090909091,193.575543158455,938.847948805229,-29.0297669870467,1,0,"Subject17","neutral",353.25,27.9448862346345,423.112215586586,283.387784413414,0,0,"Subject18","positive",405.6,87.5259961382903,624.414990345726,186.785009654274,0,0,"Subject17","suicide",396.5,21.142374511866,449.355936279665,343.644063720335,0,0
"259","Subject181","negative",440.75,14.5229703114296,477.057425778574,404.442574221426,0,0,"Subject18","neutral",442.076923076923,217.826942601408,986.644279580442,-102.490433426596,1,0,"Subject181","positive",578.5,317.022081249871,1371.05520312468,-214.055203124678,0,0,"Subject18","suicide",450,0,450,450,0,0
