"","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low","SubjectID","wordtype","mean","sd","pos_2sd","neg_2sd","outlier_high","outlier_low"
"241","Subject156","negative",507.777777777778,117.113095442751,742.003968663281,273.551586892275,0,0,"Subject156","neutral",484.25,92.5664273819665,669.382854763933,299.117145236067,0,0,"Subject156","positive",485.916666666667,59.5365555711393,604.989777808945,366.843555524388,0,0,"Subject156","suicide",528.9,93.4411720366293,715.782344073259,342.017655926741,0,0
"245","Subject157","negative",473.333333333333,62.2398353263348,597.813003986003,348.853662680664,0,0,"Subject157","neutral",466.083333333333,46.2741515475895,558.631636428512,373.535030238154,0,0,"Subject157","positive",488.25,40.7198808403484,569.689761680697,406.810238319303,0,0,"Subject157","suicide",524.545454545455,125.851283086608,776.24802071867,272.842888372239,0,0
"249","Subject158","negative",748.5,271.366750069861,1291.23350013972,205.766499860279,2,0,"Subject158","neutral",557.833333333333,151.260692519403,860.354718372139,255.311948294528,2,0,"Subject158","positive",618.833333333333,143.207865543842,905.249064421018,332.417602245649,2,0,"Subject158","suicide",637.181818181818,201.943800848896,1041.06941987961,233.294216484025,2,0
"253","Subject159","negative",456.083333333333,54.5088079573158,565.100949247965,347.065717418702,2,0,"Subject159","neutral",433.666666666667,57.3355240565618,548.33771477979,318.995618553543,2,0,"Subject159","positive",476.5,98.1281327386933,672.756265477387,280.243734522613,2,0,"Subject159","suicide",456.545454545455,94.2755471364595,645.096548818373,267.994360272536,2,0
"257","Subject16","negative",662.25,109.83792407551,881.925848151019,442.574151848981,0,0,"Subject16","neutral",588.25,103.260855835239,794.771711670479,381.728288329521,0,0,"Subject16","positive",612,140.890953824457,893.781907648914,330.218092351086,0,0,"Subject16","suicide",645.75,126.879007754221,899.508015508442,391.991984491558,2,0
"261","Subject160","negative",1032.6,158.362807967554,1349.32561593511,715.874384064892,0,0,"Subject160","neutral",1035.09090909091,237.174821816938,1509.44055272478,560.741265457034,0,0,"Subject160","positive",991.583333333333,216.729227311442,1425.04178795622,558.12487871045,0,0,"Subject160","suicide",1084.16666666667,394.632648847294,1873.43196436126,294.901368972078,2,0
"265","Subject164","negative",488.222222222222,159.753322916948,807.728868056117,168.715576388327,0,0,"Subject164","neutral",526.142857142857,143.137834133536,812.418525409928,239.867188875786,0,0,"Subject164","positive",447.75,63.3335087716868,574.417017543374,321.082982456626,2,0,"Subject164","suicide",580.5,188.021275391909,956.542550783818,204.457449216182,2,0
"269","Subject17","negative",367.75,61.2821344275801,490.31426885516,245.18573114484,2,0,"Subject17","neutral",365.666666666667,21.9022862945295,409.471239255726,321.862094077608,0,2,"Subject17","positive",373.083333333333,36.1385217409787,445.360376815291,300.806289851376,2,0,"Subject17","suicide",405.5,129.447991906772,664.395983813544,146.604016186456,2,0
"273","Subject181","negative",791.636363636364,285.762563020845,1363.16148967805,220.111237594674,2,0,"Subject181","neutral",660.333333333333,191.182286487704,1042.69790630874,277.968760357925,0,0,"Subject181","positive",738.166666666667,285.108014110696,1308.38269488806,167.950638445274,0,0,"Subject181","suicide",703.272727272727,250.643777162536,1204.5602815978,201.985172947655,0,0
"277","Subject182","negative",370,38.6534210196425,447.306842039285,292.693157960715,2,0,"Subject182","neutral",403.5,75.2901633392582,554.080326678516,252.919673321484,2,0,"Subject182","positive",370.333333333333,33.9931791964808,438.319691726295,302.346974940372,2,0,"Subject182","suicide",374.833333333333,33.0923170732326,441.017967479799,308.648699186868,0,0
